,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Tag,Artist,Name,Popularity
0,0.704,0.804,1,-5.466,0,0.0326,0.232,0.0271,0.105,0.387,124.056,audio_features,2MG8x9jFSXU0tp9zshdtA2,spotify:track:2MG8x9jFSXU0tp9zshdtA2,https://api.spotify.com/v1/tracks/2MG8x9jFSXU0tp9zshdtA2,https://api.spotify.com/v1/audio-analysis/2MG8x9jFSXU0tp9zshdtA2,189677,4,Travel,8ubbles,Endless Vibe,51
1,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,audio_features,1e9oZCCiX42nJl0AcqriVo,spotify:track:1e9oZCCiX42nJl0AcqriVo,https://api.spotify.com/v1/tracks/1e9oZCCiX42nJl0AcqriVo,https://api.spotify.com/v1/audio-analysis/1e9oZCCiX42nJl0AcqriVo,174000,4,Travel,Harry Styles,Watermelon Sugar,76
2,0.743,0.837,1,-5.025,0,0.0649,0.0172,0.0,0.0743,0.263,103.072,audio_features,0zzVTGyRrWpQu8Fr28NRAv,spotify:track:0zzVTGyRrWpQu8Fr28NRAv,https://api.spotify.com/v1/tracks/0zzVTGyRrWpQu8Fr28NRAv,https://api.spotify.com/v1/audio-analysis/0zzVTGyRrWpQu8Fr28NRAv,159863,4,Travel,Marshmello,OK Not To Be OK,79
3,0.45,0.907,2,-2.69,1,0.0694,0.185,2.02e-05,0.61,0.0535,175.012,audio_features,7CGbJR9oCAKqn5itModUpC,spotify:track:7CGbJR9oCAKqn5itModUpC,https://api.spotify.com/v1/tracks/7CGbJR9oCAKqn5itModUpC,https://api.spotify.com/v1/audio-analysis/7CGbJR9oCAKqn5itModUpC,275657,4,Travel,3lu,I Still Believe,25
4,0.531,0.854,10,-3.149,1,0.198,0.288,0.0,0.0773,0.456,94.419,audio_features,6xtcFXSo8H9BZN637BMVKS,spotify:track:6xtcFXSo8H9BZN637BMVKS,https://api.spotify.com/v1/tracks/6xtcFXSo8H9BZN637BMVKS,https://api.spotify.com/v1/audio-analysis/6xtcFXSo8H9BZN637BMVKS,190000,4,Travel,Rita Ora,Let You Love Me,65
5,0.718,0.684,11,-4.593,0,0.0532,0.0676,0.0,0.0834,0.768,121.976,audio_features,2nCEN5q18oVaSpEdPdnRod,spotify:track:2nCEN5q18oVaSpEdPdnRod,https://api.spotify.com/v1/tracks/2nCEN5q18oVaSpEdPdnRod,https://api.spotify.com/v1/audio-analysis/2nCEN5q18oVaSpEdPdnRod,194320,4,Travel,Shawn Mendes,There's Nothing Holdin' Me Back - NOTD Remix,0
6,0.665,0.699,11,-5.265,1,0.0578,0.423,0.0,0.0969,0.585,124.896,audio_features,5tAa8Uaqr4VvA3693mbIhU,spotify:track:5tAa8Uaqr4VvA3693mbIhU,https://api.spotify.com/v1/tracks/5tAa8Uaqr4VvA3693mbIhU,https://api.spotify.com/v1/audio-analysis/5tAa8Uaqr4VvA3693mbIhU,190932,4,Travel,Zara Larsson,Ruin My Life,75
7,0.624,0.876,9,-3.374,1,0.1,0.0735,0.0,0.327,0.781,99.943,audio_features,0afhq8XCExXpqazXczTSve,spotify:track:0afhq8XCExXpqazXczTSve,https://api.spotify.com/v1/tracks/0afhq8XCExXpqazXczTSve,https://api.spotify.com/v1/audio-analysis/0afhq8XCExXpqazXczTSve,170827,4,Travel,Ed Sheeran,Galway Girl,78
8,0.679,0.634,5,-5.024,0,0.0654,0.232,0.0,0.115,0.498,102.013,audio_features,0dA2Mk56wEzDgegdC6R17g,spotify:track:0dA2Mk56wEzDgegdC6R17g,https://api.spotify.com/v1/tracks/0dA2Mk56wEzDgegdC6R17g,https://api.spotify.com/v1/audio-analysis/0dA2Mk56wEzDgegdC6R17g,210091,4,Travel,Zedd,Stay (with Alessia Cara),1
9,0.724,0.647,1,-5.642,1,0.0658,0.28,0.0,0.102,0.435,106.96,audio_features,2rPE9A1vEgShuZxxzR2tZH,spotify:track:2rPE9A1vEgShuZxxzR2tZH,https://api.spotify.com/v1/tracks/2rPE9A1vEgShuZxxzR2tZH,https://api.spotify.com/v1/audio-analysis/2rPE9A1vEgShuZxxzR2tZH,207333,4,Travel,Ariana Grande,"thank u, next",21
